case_id,image_width,image_height,is_landscape,ink_pixels,ink_density,stroke_darkness_mean,stroke_darkness_std,skeleton_length,skeleton_density,stroke_thickness_proxy,connected_components_count,small_components_count,largest_component_area,largest_component_area_ratio,mean_component_area,contour_count,endpoints_count,intersections_count,endpoints_per_skeleton_length,intersections_per_skeleton_length,components_per_ink_area,bbox_width,bbox_height,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,drawing_center_distance_norm,perseveration_score,distortion_proxy_score
1,1241,1755,0,27946,0.012831302758780598,63.72779646461032,49.88203516047379,7015,0.0032209113595092643,3.983749108484141,132,108,4176,0.0019173949874997417,206.1060606060606,106,376,59,0.05359942978565938,0.008410548822749744,0.004723395118989358,1200,1687,0.9294957884804782,0.7113218727259503,0.4935535858178888,0.5116809116809117,0.010237851947627066,-1.3665205355385186,-0.3036712543518442
2,1241,1755,0,33761,0.015501238547169248,117.69796510766861,63.60877188884253,6718,0.003084544905656912,5.025454003419849,142,106,7867,0.0036121040150049015,231.42957746478874,114,428,362,0.06370943732305605,0.05388508483865956,0.004206036550925446,1183,1643,0.8924284477870296,0.7200243452708311,0.500402900886382,0.47863247863247865,0.01744792952398765,0.07493020644848096,0.47157559037851204
3,1241,1755,0,29999,0.013773930131706118,81.3953131771059,53.612198627076886,7692,0.003531753410883145,3.9000260005330176,122,92,5294,0.0024307205612604486,240.9672131147541,104,416,245,0.054082163279500495,0.031851274046821205,0.004066802226605327,1165,1494,0.7991487427426186,0.7797858093843468,0.4786462530217567,0.4339031339031339,0.05535779950774145,-1.1164560852092287,-0.3790113385228728
4,1755,1241,1,31808,0.014604525805170446,94.96067027162978,47.82299632570971,7157,0.003286110135425204,4.444320245292117,142,150,6374,0.0029265985752690024,215.71830985915494,111,486,182,0.06790554700741853,0.025429649290843976,0.004464285714145364,1512,1155,0.8018347486518317,1.3090909079574968,0.5113960113960114,0.48912167606768736,0.011226096696527538,-0.5970385289135266,-0.2318886690535899
5,1241,1755,0,33813,0.015525114155251141,125.51524561559164,64.12341784974323,7413,0.003403651590597602,4.56131120942111,138,101,10690,0.004908274046066149,239.91304347826087,116,401,157,0.05409415890272573,0.021179009844708076,0.004081270517135975,1191,1571,0.8590907525637582,0.7581158492946429,0.49717969379532634,0.4792022792022792,0.01705903394538617,-0.059099081067775394,-0.29130022149733614
6,1241,1755,0,71453,0.03280738123606778,45.355506416805454,18.53952345126521,16466,0.007560303128393378,4.339426697173605,114,109,17290,0.007938639687229535,620.578947368421,103,373,375,0.022652738975910802,0.02277420138328834,0.0015954543545883945,1201,1723,0.9501220181316877,0.6970400460260939,0.4931506849315068,0.5014245014245015,0.004122008267294375,-0.5033265486778995,-0.4335760972541787
7,1241,1755,0,99187,0.04554134497728374,82.71675723633138,43.80448121607595,21566,0.009901949305655994,4.599230269655975,158,225,28173,0.01293552897098425,617.7278481012659,132,779,1216,0.03612167300212735,0.0563850505399061,0.0015929506890863426,1196,1591,0.8736801265407228,0.7517284721862171,0.4951651893634166,0.4621082621082621,0.031063918580127938,0.7596655754514416,0.2066671846391687
8,1241,1755,0,32044,0.014712884334157501,124.35432530270877,57.81982930660204,5324,0.0024444949505384637,6.018782868892039,114,53,5340,0.0024518412914867386,277.79824561403507,99,296,255,0.055597295256273986,0.047896318548479276,0.003557608288492148,984,1728,0.7807103452550672,0.5694444441149048,0.4468170829975826,0.49943019943019945,0.03070915101318814,0.658578213285611,-0.1951899854745607
9,1241,1755,0,63579,0.02919206319689801,103.93757372717407,55.36234643360849,12249,0.005624083142213682,5.190546166610291,178,105,13330,0.006120420302531503,353.35955056179773,162,534,859,0.04359539553893416,0.07012817372274241,0.0027996665565233857,1188,1653,0.9016549928717535,0.7186932845016979,0.4879129734085415,0.5054131054131055,0.008260409504713472,0.6082912106707382,0.6892146813664839
10,1241,1755,0,77051,0.03537768227534545,98.53156999909152,49.83611172013238,12290,0.0056429081408936365,6.269406020645288,257,356,12628,0.005798099593425943,290.15564202334633,191,1093,938,0.08893409275110381,0.07632221317523823,0.00333545314138252,1009,1626,0.7532910459582498,0.6205412050304174,0.5092667203867849,0.5290598290598291,0.024322807827827954,1.3928026663027497,1.16663472656505
11,1241,1755,0,40373,0.01853711394404384,93.91410100809948,64.88944317904031,9324,0.004281080187607182,4.330008579544186,185,140,7976,0.003662150962715024,212.1891891891892,125,572,363,0.061347061340481866,0.038931788927613495,0.004582270329066895,1096,1692,0.8514556085869542,0.6477541367330057,0.4637389202256245,0.4897435897435897,0.022548390034921633,-0.48834843471475636,0.254795365286724
12,1241,1755,0,50722,0.02328881909864988,63.35402783801901,29.095423419071114,8191,0.0037608674192074676,6.192406298841117,140,73,7210,0.0033104448898163643,359.15714285714284,134,348,184,0.04248565498199418,0.022463679645652095,0.002760143527409011,1154,1436,0.760871551524251,0.8036211693568097,0.4782433521353747,0.4287749287749288,0.059495761402674145,0.2877895544431794,-0.7087021338553718
13,1241,1755,0,58934,0.02705932859035196,84.62480062442732,47.41674748039519,13012,0.00597441177618454,4.529203811517891,136,108,7694,0.0035326717035016795,428.20588235294116,120,453,1025,0.034814017827020136,0.07877343989557535,0.0023076662028318515,1201,1603,0.8839498520401018,0.7492202116349218,0.4931506849315068,0.4666666666666667,0.02750214405258451,-0.11551114180194762,0.49337428650673076
14,1241,1755,0,50854,0.023349426411473147,73.40574979352657,36.16628964275685,9697,0.00445234176096384,5.244302361014303,161,149,6400,0.002938536379309949,309.0496894409938,135,534,367,0.0550685779050151,0.037846756724982285,0.003165925984127779,1145,1672,0.8790080603134592,0.6848086120306168,0.47139403706688154,0.48575498575498577,0.020200331885848417,-0.0692591043652279,0.15171086077185367
